latitude,longitude,year,month,nasa_solar_irradiance_allsky,nasa_solar_irradiance_clearsky,nasa_clearness_index,nasa_longwave_radiation,nasa_uv_index,nasa_temperature_2m,nasa_dewpoint_2m,nasa_earth_skin_temperature,nasa_relative_humidity,nasa_specific_humidity,nasa_precipitation,nasa_wind_speed_10m,nasa_wind_direction_10m,nasa_surface_pressure,nasa_cloud_amount,temperature_2m_mean,dewpoint_2m_mean,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_mean,surface_pressure_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,temperature_2m_max,temperature_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,wind_speed_10m_max,cloud_cover_low_mean,cloud_cover_mid_mean,cloud_cover_high_mean,temp_range_daily,humidity_range,cloud_stratification,wind_speed_80m_mean,wind_speed_80m_max,wind_speed_120m_mean,wind_speed_120m_max,wind_speed_180m_mean,wind_speed_180m_max,wind_shear_coefficient,wind_power_density_80m,wind_power_density_120m,wind_power_density_180m,solar_utilization_ratio,solar_wind_complementarity,growing_degree_days,frost_risk,heat_stress,soil_temp_proxy,soil_air_temp_diff,heavy_rain_flag,extreme_rain_flag,days_count
8.5,77.0,2000,1,11.952258064516128,22.09903225806452,0.59,33.925483870967746,1.88,26.490967741935485,20.142258064516128,27.28354838709677,70.10548387096775,14.897419354838709,0.1380645161290322,3.909032258064516,69.79677419354839,99.99838709677418,55.4741935483871,26.490967741935485,20.142258064516128,70.10548387096775,4.28,3.909032258064516,69.79677419354839,99.99838709677418,870.0,55.4741935483871,546.73,27.99,25.44,70.10548387096775,61.91,5.8,55.4741935483871,55.4741935483871,55.4741935483871,0.0,0.0,0.0,5.230001970612292,5.230001970612292,5.535471623354017,5.535471623354017,5.858782896284504,5.858782896284504,0.1399999999999999,2.4505486474525933,2.905505201124172,3.444926703469137,0.542236382451963,0.2746705697702254,16.490967741935485,0.0,0.0,27.28354838709677,0.7925806451612901,0.0,0.0,31
8.5,77.0,2000,2,12.0,23.88448275862069,0.62,35.22793103448276,2.26,27.07689655172414,21.66689655172414,28.163103448275866,73.63827586206898,16.344137931034485,2.294137931034483,3.0206896551724136,190.40689655172412,99.94689655172414,59.834482758620695,27.07689655172414,21.66689655172414,73.63827586206898,66.53,3.0206896551724136,190.40689655172412,99.94689655172414,870.0,59.834482758620695,566.4,28.55,25.51,73.63827586206898,59.75,4.68,59.834482758620695,59.834482758620695,59.834482758620695,0.0,0.0,0.0,4.041463924112532,4.041463924112532,4.277514424361641,4.277514424361641,4.527351968047021,4.527351968047021,0.1399999999999999,1.0694444137724168,1.2679920922031236,1.5034011353785084,0.502968822068601,0.0294081466118339,17.07689655172414,0.0,0.0,28.163103448275866,1.086206896551724,0.0,0.0,29
8.5,77.0,2000,3,12.0,25.187096774193545,0.61,35.46064516129032,2.43,28.721612903225807,21.837419354838712,30.08,68.36548387096774,16.55838709677419,0.9396774193548388,3.0258064516129037,277.3225806451613,99.88387096774194,38.1,28.721612903225807,21.837419354838712,68.36548387096774,29.130000000000003,3.0258064516129037,277.3225806451613,99.88387096774194,870.0,38.1,718.67,29.53,27.33,68.36548387096774,60.75,4.45,38.1,38.1,38.1,0.0,0.0,0.0,4.048309827062494,4.048309827062494,4.284760177179458,4.284760177179458,4.5350209248348445,4.5350209248348445,0.1399999999999999,1.020172792832336,1.2095729495927368,1.43413618816918,0.4767619893151499,0.0882826247636637,18.721612903225807,0.0,0.0,30.08,1.3583870967741931,0.0,0.0,31
8.5,77.0,2000,4,12.0,25.589,0.58,35.937999999999995,2.3399999999999994,27.98733333333333,23.735666666666667,28.980666666666664,78.25,18.51333333333333,1.4473333333333334,4.409666666666666,279.3366666666667,99.80833333333334,49.28666666666666,27.98733333333333,23.735666666666667,78.25,43.42,4.409666666666666,279.3366666666667,99.80833333333334,870.0,49.28666666666666,658.44,28.76,26.47,78.25,73.72,6.8,49.28666666666666,49.28666666666666,49.28666666666666,0.0,0.0,0.0,5.899814540755159,5.899814540755159,6.244406055085709,6.244406055085709,6.609124187113877,6.609124187113877,0.1399999999999999,3.5324514013011625,4.1882685862482765,4.965841495821505,0.469257425603414,-0.6738647764464284,17.987333333333332,0.0,0.0,28.980666666666664,0.9933333333333328,0.0,0.0,30
8.5,77.0,2000,5,12.0,24.90258064516129,0.55,35.89774193548387,2.17,28.030967741935484,23.85516129032258,28.86516129032258,78.55967741935484,18.64548387096774,0.8570967741935483,5.271290322580645,287.3322580645161,99.87032258064517,54.76774193548387,28.030967741935484,23.85516129032258,78.55967741935484,26.57,5.271290322580645,287.3322580645161,99.87032258064517,870.0,54.76774193548387,667.26,29.03,26.75,78.55967741935484,73.26,7.24,54.76774193548387,54.76774193548387,54.76774193548387,0.0,0.0,0.0,7.052604571858018,7.052604571858018,7.46452729800528,7.46452729800528,7.900509267881258,7.900509267881258,0.1399999999999999,5.376772732158239,6.374997352037104,7.558547341123518,0.4821248972125512,-0.7768876159916803,18.030967741935484,0.0,0.0,28.86516129032258,0.8341935483870967,0.0,0.0,31
8.5,77.0,2000,6,11.868333333333334,24.585,0.52,35.797000000000004,2.06,26.184,23.624,26.41,86.05133333333333,18.388,4.181333333333333,6.701666666666667,284.5733333333334,99.83066666666669,74.25666666666666,26.184,23.624,86.05133333333333,125.44,6.701666666666667,284.5733333333334,99.83066666666669,870.0,74.25666666666666,520.62,28.06,24.86,86.05133333333333,75.87,8.01,74.25666666666666,74.25666666666666,74.25666666666666,0.0,0.0,0.0,8.966344496324927,8.966344496324927,9.49004336968011,9.49004336968011,10.04433001601969,10.04433001601969,0.1399999999999999,9.752282223651177,11.562841959128034,13.709541121310563,0.4829630802795672,0.4326688830029701,16.184,0.0,0.0,26.41,0.2260000000000001,0.0,0.0,30
8.5,77.0,2000,7,12.0,24.88806451612903,0.51,35.06967741935484,2.04,26.17806451612903,23.336129032258064,26.59290322580645,84.78999999999999,18.06967741935484,1.6687096774193548,6.188709677419355,295.7354838709677,99.78064516129032,67.29354838709678,26.17806451612903,23.336129032258064,84.78999999999999,51.73,6.188709677419355,295.7354838709677,99.78064516129032,870.0,67.29354838709678,612.24,27.13,25.24,84.78999999999999,78.8,8.36,67.29354838709678,67.29354838709678,67.29354838709678,0.0,0.0,0.0,8.280045205990826,8.280045205990826,8.763659274966725,8.763659274966725,9.275519876647811,9.275519876647811,0.1399999999999999,7.877820252485264,9.340376793136103,11.074464235234684,0.4823934678493457,-0.4692581654562249,16.17806451612903,0.0,0.0,26.59290322580645,0.4148387096774193,0.0,0.0,31
8.5,77.0,2000,8,11.858387096774194,25.076451612903227,0.54,35.350322580645155,2.22,25.843870967741932,23.341290322580647,26.169032258064515,86.26548387096774,18.051935483870967,3.950967741935484,6.138709677419355,281.0483870967742,99.87129032258063,83.03548387096774,25.843870967741932,23.341290322580647,86.26548387096774,122.48,6.138709677419355,281.0483870967742,99.87129032258063,870.0,83.03548387096774,521.9300000000001,26.72,25.3,86.26548387096774,80.31,8.58,83.03548387096774,83.03548387096774,83.03548387096774,0.0,0.0,0.0,8.213148828251521,8.213148828251521,8.69285566862741,8.69285566862741,9.200580831514616,9.200580831514616,0.1399999999999999,8.442509328201849,10.00990320642241,11.868291559624089,0.4734318382763607,0.8671923706829326,15.843870967741934,0.0,0.0,26.169032258064515,0.3251612903225808,0.0,0.0,31
8.5,77.0,2000,9,11.985,25.07033333333333,0.55,35.246,2.27,25.926,23.847666666666665,26.469,88.393,18.613,3.0050000000000003,4.514333333333334,275.4066666666667,99.86466666666666,61.61,25.926,23.847666666666665,88.393,90.15,4.514333333333334,275.4066666666667,99.86466666666666,870.0,61.61,603.82,26.55,24.93,88.393,84.07,5.79,61.61,61.61,61.61,0.0,0.0,0.0,6.039850958156105,6.039850958156105,6.392621604356019,6.392621604356019,6.765996588259372,6.765996588259372,0.1399999999999999,3.198417866437288,3.7922200630305154,4.496264592990803,0.4782173750939488,-0.4697759689035644,15.925999999999998,0.0,0.0,26.469,0.5429999999999999,0.0,0.0,30
8.5,77.0,2000,10,11.988709677419354,24.121290322580645,0.51,35.00516129032258,1.96,25.981612903225805,23.356451612903225,26.63483870967742,85.60677419354839,18.050967741935484,2.6296774193548385,4.174838709677419,280.64838709677423,99.9732258064516,56.66774193548388,25.981612903225805,23.356451612903225,85.60677419354839,81.52,4.174838709677419,280.64838709677423,99.9732258064516,870.0,56.66774193548388,607.72,26.73,24.77,85.60677419354839,79.24,5.91,56.66774193548388,56.66774193548388,56.66774193548388,0.0,0.0,0.0,5.585631746465117,5.585631746465117,5.911872730603044,5.911872730603044,6.257168529766798,6.257168529766798,0.1399999999999999,2.590483725864307,3.0714199233508075,3.641644319695073,0.4977071242657662,-0.0101768268137571,15.981612903225807,0.0,0.0,26.63483870967742,0.6532258064516132,0.0,0.0,31
