algorithm,n_clusters,n_samples,n_noise,noise_pct,silhouette,calinski_harabasz,davies_bouldin,cluster_balance,min_cluster_size,max_cluster_size,mean_cluster_size,min_cluster_share,max_cluster_share,composite_score
HDBSCAN,2,1153,946,82.0,0.6119,474.88,0.5581,0.7826,81,126,103.5,0.3913,0.6087,1.0076160429501848
K-Means(k=6),6,1153,0,0.0,0.2969,582.15,1.0492,0.647,94,254,192.2,0.0815,0.2203,0.5960926283987915
"Hierarchical(Ward, k=6)",6,1153,0,0.0,0.2797,541.2,1.0332,0.6518,90,265,192.2,0.0781,0.2298,0.5949966871165645
K-Means(k=8),8,1153,0,0.0,0.2905,562.65,0.9833,0.4906,24,239,144.1,0.0208,0.2073,0.5654035578375113
K-Means(k=7),7,1153,0,0.0,0.3038,590.82,0.9843,0.4542,21,256,164.7,0.0182,0.222,0.5594998028763954
"Hierarchical(Ward, k=7)",7,1153,0,0.0,0.2742,538.29,1.0878,0.4778,58,265,164.7,0.0503,0.2298,0.5262938203680088
GMM(k=8),8,1153,0,0.0,0.2456,449.99,1.1638,0.5606,49,231,144.1,0.0425,0.2003,0.5220001669790424
K-Means,4,1153,0,0.0,0.3195,617.78,1.0968,0.3564,105,528,288.2,0.0911,0.4579,0.5057716805204192
"Hierarchical(Ward, k=8)",8,1153,0,0.0,0.2788,519.29,1.0078,0.3308,12,265,144.1,0.0104,0.2298,0.5055133896639812
GMM(k=6),6,1153,0,0.0,0.2525,450.75,1.2118,0.518,100,332,192.2,0.0867,0.2879,0.5019393681453593
GMM(k=7),7,1153,0,0.0,0.2411,469.26,1.1825,0.4856,50,299,164.7,0.0434,0.2593,0.49369232704402516
GMM,4,1153,0,0.0,0.2704,532.56,1.2251,0.4351,100,453,288.2,0.0867,0.3929,0.481585312120476
Hierarchical(Ward),4,1153,0,0.0,0.2966,533.79,1.0419,0.0739,90,745,288.2,0.0781,0.6461,0.4260082127578667
Hierarchical(Average),4,1153,0,0.0,0.3818,204.71,0.8314,-0.4823,8,1026,288.2,0.0069,0.8899,0.3645786094604231
"Hierarchical(Average, k=6)",6,1153,0,0.0,0.3622,300.62,0.9508,-0.6636,8,903,192.2,0.0069,0.7832,0.2580398001665279
"Hierarchical(Average, k=7)",7,1153,0,0.0,0.3421,252.93,0.8479,-0.8427,3,903,164.7,0.0026,0.7832,0.23372110618953257
"Hierarchical(Average, k=8)",8,1153,0,0.0,0.3361,236.46,0.881,-0.999,3,903,144.1,0.0026,0.7832,0.1714403367003367
DBSCAN,10,1153,51,4.4,0.3576,98.78,0.7806,-1.6417,6,983,110.2,0.0054,0.892,0.029988639008348195
